img,نوع المستند,التاريخ,الجهة,المرجع,عدد العمليات,المبلغ_قبل_الضريبة,الضريبة,الإجمالي,ملاحظة
IMG_1835,موازنة يومية,2026-04-29,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000619,7,,,142.00,المجاميع متوافقة · مدى فقط
IMG_1836,تقرير نقطة بيع,2026-04-29,شبكة مدى,,7,,,142.00,ذيل لفة 29/04 · تفاصيل مدى 7×142.00
IMG_1837,تذكرة هنقرستيشن,,,,,,,,رأس مقصوص · 3 أصناف ظاهرة · دفع العميل 54.83 · مجموع الطلب غير مقروء
IMG_1838,موازنة يومية,2026-04-27,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000609,1,,,5.00,المجاميع متوافقة · مدى فقط
IMG_1839,تقرير نقطة بيع,2026-04-27,شبكة مدى,,,,,,ذيل لفة 27/04 · بقية الشبكات بلا عمليات
IMG_1840,موازنة يومية,2026-04-08,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000490,4,,,91.00,المجاميع متوافقة · مدى فقط
IMG_1841,تذكرة هنقرستيشن,,,,,,,49.00,رأس مقصوص · 6 أصناف · دفع العميل 49.98 شاملاً الرسوم
IMG_1842,تذكرة هنقرستيشن,2026-04-25,هنقرستيشن — مشوي كور الهضبة,968178071,,,,42.00,مدفوع مسبقًا · 6 عناصر · فرع الهضبة لا الحمراء
IMG_1843,موازنة يومية,2026-04-15,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000552,7,,,161.00,المجاميع متوافقة · مطابق لصورة IMG_1844
IMG_1846,موازنة يومية,2026-04-20,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000575,8,,,168.00,المجاميع متوافقة · مدى فقط
IMG_1847,موازنة يومية,2026-04-21,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000579,2,,,31.00,المجاميع متوافقة · مدى 2×31.00 · وفيزا 1×9.00
IMG_1866,فاتورة مورد,2026-05-04,شركة دار السالمين التجارية,680961,,447.00,67.06,514.00,الرقم الضريبي 311327878700003 · نقدًا · 5 أصناف · مجموع الأسطر 514.06 مقابل إجمالي مطبوع 514.00
IMG_1867,فاتورة مورد,2026-05-09,شركة دار السالمين التجارية,681833,,1350.75,202.61,1553.00,الرقم الضريبي 311327878700003 · نقدًا · 6 أصناف · مجموع الأسطر 1553.36 والمطبوع 1553.00
IMG_1868,فاتورة مورد,2026-05-09,شركة دار السالمين التجارية,681845,,120.00,18.00,138.00,الرقم الضريبي 311327878700003 · نقدًا · صنف واحد علب برجر
IMG_1869,فاتورة مورد,2026-06-01,شركة دار السالمين التجارية,685591,,1301.00,195.15,1496.00,الرقم الضريبي 311327878700003 · نقدًا · 8 أصناف · مجموع الأسطر 1496.15 والمطبوع 1496.00
IMG_1870,موازنة يومية,2026-05-16,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000735,1,,,20.00,المجاميع متوافقة · مدى فقط
IMG_1871,تقرير نقطة بيع,,شبكة مدى,,2,,,9.00,تكملة لفة 16/05 · ماستركارد 2×9.00 · بقية الشبكات بلا عمليات
IMG_1872,فاتورة مورد,2026-05-11,شركة دار السالمين التجارية,682242,,302.75,45.41,348.00,الرقم الضريبي 311327878700003 · نقدًا · 5 أصناف · مجموع الأسطر 348.16 والمطبوع 348.00
IMG_1873,فاتورة مورد,2026-05-12,شركة دار السالمين التجارية,682326,,1080.00,162.00,1242.00,الرقم الضريبي 311327878700003 · نقدًا · 4 أصناف · الأسطر تطابق الإجمالي
IMG_1874,فاتورة مورد,2026-05-07,شركة دار السالمين التجارية,681448,,1815.17,272.28,2087.00,الرقم الضريبي 311327878700003 · 9 أصناف · التاريخ الهجري 20/11/1447 · مجموع الأسطر 2087.45
IMG_1875,تقرير نقطة بيع,2026-05-15,شبكة مدى,دفعة 000732 · تصريح 812595,1,,,20.00,إيصال شراء مفرد · بطاقة منتهية 3002 · نسخة العميل
IMG_1876,تقرير نقطة بيع,2026-05-15,ماستركارد,دفعة 000733 · تصريح 073720,1,,,3.00,إيصال شراء مفرد · تظهر في الصورة نهاية إيصال 20.00 أيضًا
IMG_1877,تقرير نقطة بيع,2026-05-15,ماستركارد,دفعة 000734 · تصريح 004662,1,,,6.00,إيصال شراء مفرد · بطاقة منتهية 1709
IMG_1879,تذكرة هنقرستيشن,,,,,,,33.75,رأس مقصوص · 5 قطع · دفع العميل 32.69 بعد خصم ترويجي 1.74 · المجموع مطابق حسابيًا
IMG_1880,فاتورة مورد,2026-05-17,مؤسسة أضواء درة الحمراء للمواد الغذائية,13961,,12.61,1.89,14.50,فاتورة ضريبية مبسطة · الرقم الضريبي 310245143500003 · صنف واحد لبن المراعي
IMG_1881,تذكرة هنقرستيشن,,,,,,,35.25,رأس مقصوص · 3 أصناف · دفع العميل 35.96 · رسوم التوصيل 20 مخصومة بالكامل
IMG_1882,موازنة يومية,2026-05-14,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000731,6,,,96.00,المجاميع متوافقة · مدى 6×96.00 · وفيزا 1×18.00
IMG_1883,تقرير نقطة بيع,2026-05-14,شبكة مدى,,1,,,18.00,ذيل لفة 14/05 · تفاصيل فيزا 1×18.00 · بقية الشبكات بلا عمليات
IMG_1884,فاتورة مورد,2026-05-13,شركة مخازن المملكة العالمية — هايبر ماركت,حركة 1924732,,20.78,3.12,23.90,فاتورة مبسطة · الرقم الضريبي 310619174800003 · خبز 380 جرام · بعد خصم 2.70 · الضريبة محسوبة من إجمالي شامل 15%
IMG_1885,فاتورة مورد,2026-05-13,مؤسسة أضواء درة الحمراء للمواد الغذائية,12684,,6.96,1.04,8.00,فاتورة ضريبية مبسطة · الرقم الضريبي 310245143500003 · صنف واحد
IMG_1886,تذكرة هنقرستيشن,2026-05-12,هنقرستيشن — مشوي كور الهضبة,784846773,,,,26.00,مدفوع مسبقًا · عنصر واحد شاورما دبل · وقت الاستلام 18:57
IMG_1887,موازنة يومية,2026-05-13,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000720,4,,,65.00,المجاميع متوافقة · كل العمليات شراء غير متصل P/OFF
IMG_1888,تقرير نقطة بيع,2026-05-13,شبكة مدى,,,,,,ذيل لفة 13/05 · جميع الشبكات الأخرى بلا عمليات
IMG_1889,غير مقروء,,,,,,,,قصاصة ورق عليها خط يد غير مقروء · لا أرقام واضحة
IMG_1890,فاتورة مورد,2026-05-09,مؤسسة أضواء درة الحمراء للمواد الغذائية,11082,,16.53,2.47,19.00,فاتورة ضريبية مبسطة · الرقم الضريبي 310245143500003 · حليب وزبادي المراعي
IMG_1891,تقرير نقطة بيع,,شبكة مدى,,1,,,37.00,رأس مقصوص بلا تاريخ · المجاميع متوافقة · مدى 1×37.00
IMG_1892,تقرير نقطة بيع,,شبكة مدى,دفعة 000706,8,,,118.00,رأس مقصوص بلا تاريخ · المجاميع متوافقة · مدى 8×118.00
IMG_1893,تقرير نقطة بيع,2026-05-07,شبكة مدى,دفعة 000683 و 000684,2,,,48.00,إيصالا شراء مفردان بقيمة 24.00 لكل منهما · بطاقتان مختلفتان
IMG_1894,موازنة يومية,2026-05-08,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000685,6,,,112.00,المجاميع متوافقة · مدى فقط · يغطي يوم العمل 07/05
IMG_1895,تقرير نقطة بيع,2026-05-08,شبكة مدى,,,,,,ذيل لفة 08/05 · جميع الشبكات الأخرى بلا عمليات
IMG_1896,موازنة يومية,2026-05-07,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000678,5,,,141.00,المجاميع متوافقة · مدى فقط
IMG_1897,تقرير نقطة بيع,,شبكة مدى,,5,,,141.00,تكملة لفة 07/05 · تفاصيل مدى 5×141.00
IMG_1898,موازنة يومية,2026-05-05,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000659,8,,,113.00,المجاميع متوافقة · مدى فقط
IMG_1899,تقرير نقطة بيع,,شبكة مدى,,1,,,17.00,تكملة لفة 05/05 · مدى 8×113.00 وفيزا 1×17.00
IMG_1900,تقرير نقطة بيع,2026-05-05,شبكة مدى,,1,,,17.00,ذيل لفة 05/05 · تفاصيل فيزا 1×17.00
IMG_1901,تقرير نقطة بيع,2026-05-24,مؤسسة حمد عبدالحميد الهقاص,S20260524-6140,,,,,إيصال مطبخ · طلب رقم 34 · 3 شاورما عربي · بلا مبالغ · صندوق البيع الرئيسي
IMG_1905,فاتورة مورد,2026-05-15,شركة دار السالمين التجارية,682856,,,,1934.00,الرقم الضريبي 311327878700003 · التاريخ الهجري 28/11/1447 · بعض الأسطر مخفية بطيّة الورقة فلم تُجمع التفاصيل
IMG_1906,موازنة يومية,2026-05-06,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024 · دفعة 000665,2,,,30.00,المجاميع متوافقة · مدى فقط
IMG_1911,غير مقروء,,,,,,,,قائمة طلبات مكتوبة بخط اليد — دجاج وبطاطس وزيت وبهارات — بلا مبالغ أو تاريخ
IMG_1914,فاتورة مورد,2026-05-02,شركة دار السالمين التجارية,680440,,1115.00,167.25,1282.00,الرقم الضريبي 311327878700003 · نقدًا · 5 أصناف · العميل مشوي كرز الحمراء · مجموع الأسطر 1282.25
IMG_1917,فاتورة مورد,2026-05-03,شركة دار السالمين التجارية,680757,,1199.00,179.85,1378.00,الرقم الضريبي 311327878700003 · نقدًا · 7 أصناف · مجموع الأسطر 1378.85 والمطبوع 1378.00
IMG_1919,تقرير نقطة بيع,2026-05-07,شبكة مدى,دفعة 000676 · تصريح 704545,1,,,30.00,إيصال شراء مفرد · بطاقة منتهية 6913 · تحقق هوية مالك الجهاز
IMG_1927,فاتورة مورد,2026-05-05,مؤسسة أضواء درة الحمراء للمواد الغذائية,10529,,11.31,1.69,13.00,فاتورة ضريبية مبسطة · الرقم الضريبي 310245143500003 · سكر وزبادي
IMG_1928,تذكرة هنقرستيشن,,هنقرستيشن — مشوي كور,0752,,,,32.50,قطعتان · وقت الاستلام 01:23 · دفع العميل 33.15 · رسوم التوصيل 19 مخصومة · بلا تاريخ ظاهر
IMG_1930,تقرير نقطة بيع,2026-09-09,مشوي كوز — صندوق البيع الرئيسي,S20260909-10498,3,,,11.00,فاتورة مبيعات من نقطة البيع · طلب رقم 42 · السجل التجاري 7052238578 · رواء باي
IMG_1931,فاتورة مورد,2026-09-09,شركة لؤلؤة الجنات التجارية — خيمة الضيافة للمحامص,22114,,121.74,18.26,140.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311326545000003 · مبيعات نقدية · صنفان
IMG_1932,فاتورة مورد,2026-09-08,شركة أطياب النماص,15535,,200.00,30.00,230.00,فاتورة ضريبية مبسطة نقدي · الرقم الضريبي 314134723100003 · س.ت 7051213341 · كرتون شاورما سادية
IMG_1933,فاتورة مورد,2026-09-08,شركة متاجر ابيات التجارية — مينا باك,260030095001,,62.61,9.39,72.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311210435900003 · قصدير فويل 45 سم
IMG_1934,فاتورة مورد,2026-09-08,شركة خيمة الضيافة للمحامص,21200720123687,,43.48,6.52,50.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311326545000003 · كرتون بطاطس فرايتو
IMG_1935,فاتورة مورد,2026-09-03,شركة متاجر ابيات التجارية — مينا باك,260030093306,,36.09,5.41,41.50,نسخة إضافية · الرقم الضريبي 311210435900003 · مسك شبك وفلين مقسم
IMG_1936,فاتورة مورد,2026-08-29,شركة أطياب النماص,14664,,204.35,30.65,235.00,الرقم الضريبي 314134723100003 · مدفوع شبكة · كرتون شاورما سادية · نفس الفاتورة في IMG_1938 و IMG_1939
IMG_1937,فاتورة مورد,2026-09-03,مؤسسة رواد المنظفات التجارية,261602037528,,69.57,10.43,80.00,فاتورة ضريبية مبسطة نقدًا · الرقم الضريبي 310277717500003 · س.ت 3550127527 · شوالان علاقي 6 كيلو
IMG_1938,فاتورة مورد,2026-08-29,شركة أطياب النماص,14664,,204.35,30.65,235.00,صورة مكررة لنفس فاتورة IMG_1936 — لا تُحتسب مرتين
IMG_1939,فاتورة مورد,2026-08-29,شركة أطياب النماص,14664,,204.35,30.65,235.00,صورة مكررة ثالثة لنفس فاتورة IMG_1936 — لا تُحتسب مرتين
IMG_1940,فاتورة مورد,2026-09-05,شركة خيمة الضيافة للمحامص,21200720123574,,104.35,15.65,120.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311326545000003 · زيت دلال 17 لتر · نقدي
IMG_1941,فاتورة مورد,2026-09-05,شركة أطياب النماص,15286,,43.48,6.52,50.00,فاتورة ضريبية مبسطة نقدي · الرقم الضريبي 314134723100003 · كرتون بطاطس سادية
IMG_1942,فاتورة مورد,2026-09-07,شركة صقر التغليف التجارية — صقر باك,39638,,37.39,5.61,43.00,فاتورة ضريبية مبسطة · الرقم الضريبي 313030518600003 · ظروف شاورما دجاج 25×35 · الفرع الرئيسي تبوك
IMG_1943,فاتورة مورد,,شركة السلامية التجارية — فرع الحمرا,978,,22.60,3.39,25.99,فاتورة ضريبية مبسطة · الرقم الضريبي 310149351600003 · كاتشب رويال 5 كجم جالون · التاريخ غير ظاهر
IMG_1944,تقرير نقطة بيع,2026-09-07,مشوي كوز — صندوق البيع الرئيسي,وردية 05:47:47 حتى 06:14:36,49,,,646.00,تقرير وردية · 97 صنفًا · الضريبة المسجلة صفر · نقدي متوقع 271 والمُدخل 220 · شبكة متوقع 41 والمُدخل 52 · رواء باي 334
IMG_1945,فاتورة مورد,2026-08-27,شركة سفير الأطعمة,26110011715,,628.00,94.20,722.20,الرقم الضريبي 311167223700003 · س.ت 3550142837 · نقدًا · 7 أصناف · رقم الفاتورة مقروء جزئيًا
IMG_1946,فاتورة مورد,2026-08-26,شركة دار السالمين التجارية,701119,,46.00,6.90,52.00,الرقم الضريبي 311327878700003 · نقدًا · مناديل كفر طبقتين · السطر الشامل 52.90 والمستحق المطبوع 52.00
IMG_1947,فاتورة مورد,2026-08-28,شركة سفير الأطعمة,26110011721,,383.00,57.45,440.45,الرقم الضريبي 311167223700003 · نقدًا · 5 أصناف · سطر الإجمالي بعد الضريبة مقصوص فحُسب من 383.00 و 57.45
IMG_1948,فاتورة مورد,2026-09-07,شركة لؤلؤة الجنات التجارية — خيمة الضيافة للمحامص,21949,,197.39,29.61,227.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311326545000003 · مبيعات نقدية · 4 أصناف
IMG_1949,فاتورة مورد,2026-09-08,شركة لؤلؤة الجنات التجارية — خيمة الضيافة للمحامص,22028,,246.96,37.04,284.00,فاتورة ضريبية مبسطة · الرقم الضريبي 311326545000003 · مبيعات نقدية · 6 أصناف
IMG_1859,فاتورة يدوية,,,0384,,,,,مورد غير مسمّى · محرَّرة إلى مشوي كرز · التاريخ والمبلغ بخط يد غير حاسم
IMG_1860,فاتورة يدوية,,,0327,,,,,مورد غير مسمّى · نفس الفاتورة في IMG_1865 · التاريخ والمبلغ غير حاسمين
IMG_1861,فاتورة يدوية,2026-05-05,,0315,,,,55,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1862,فاتورة يدوية,,,0361,,,,,مورد غير مسمّى · التاريخ والمبلغ بخط يد غير حاسم
IMG_1863,فاتورة يدوية,,,0348,,,,,مورد غير مسمّى · خانة الشهر والمبلغ غير حاسمة
IMG_1864,فاتورة يدوية,,,0339,,,,,مورد غير مسمّى · التاريخ والمبلغ بخط يد غير حاسم
IMG_1865,فاتورة يدوية,,,0327,,,,,صورة ثانية لنفس فاتورة IMG_1860 — لا تُحتسب مرتين
IMG_1878,فاتورة يدوية,,,0303,,,,,مورد غير مسمّى · الورقة مائلة · التاريخ والمبلغ غير مقروءين
IMG_1902,فاتورة يدوية,,,0257,,,,,مورد غير مسمّى · التاريخ والمبلغ غير مقروءين
IMG_1903,فاتورة يدوية,,,0272,,,,,مورد غير مسمّى · التاريخ والمبلغ غير حاسمين
IMG_1904,فاتورة يدوية,,,0288,,,,,مورد غير مسمّى · الورقة مائلة · التاريخ والمبلغ غير مقروءين
IMG_1907,فاتورة يدوية,,,0018,,,,,مورد غير مسمّى · الورقة مائلة · التاريخ والمبلغ غير مقروءين
IMG_1908,فاتورة يدوية,,,0026,,,,85,مورد غير مسمّى · المبلغ واضح · خانة اليوم غير حاسمة بين 12 و 17 مايو
IMG_1909,فاتورة يدوية,2026-05-15,,0058,,,,,مورد غير مسمّى · التاريخ واضح · المبلغ باهت غير مقروء
IMG_1910,فاتورة يدوية,,,0042,,,,,مورد غير مسمّى · الشهر 5 لكن خانة اليوم غير حاسمة
IMG_1912,فاتورة يدوية,2026-05-15,,0007,,,,87,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1913,فاتورة يدوية,2026-05-11,,0991,,,,85,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1915,فاتورة يدوية,,,0879,,,,75,مورد غير مسمّى · الشهر 5 لكن خانة اليوم غير حاسمة
IMG_1916,فاتورة يدوية,,,0864,,,,,مورد غير مسمّى · التاريخ والمبلغ غير مقروءين
IMG_1918,فاتورة يدوية,2026-05-10,,0976,,,,88,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1920,فاتورة يدوية,2026-05-09,,0960,,,,55,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1921,فاتورة يدوية,,,0847,,,,,مورد غير مسمّى · الورقة مائلة · التاريخ والمبلغ غير حاسمين
IMG_1922,فاتورة يدوية,,,0732,,,,,مورد غير مسمّى · الورقة مائلة · التاريخ والمبلغ غير حاسمين
IMG_1923,فاتورة يدوية,2026-05-11,,0924,,,,55,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
IMG_1924,فاتورة يدوية,,,0908,,,,95,مورد غير مسمّى · الشهر 5 لكن خانة اليوم غير حاسمة
IMG_1925,فاتورة يدوية,,,0942,,,,50,مورد غير مسمّى · خانة التاريخ خارج الإطار
IMG_1926,فاتورة يدوية,2026-05-05,,0894,,,,87,مورد غير مسمّى · سطر واحد بلا كمية أو سعر وحدة
