img,النوع,التاريخ,الجهة,المرجع,عدد_العمليات,المبلغ,ملاحظة
IMG_1825.jpeg,mada,2026-04-12,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000528,3,28.00,"خادم مدى TOTAL DB 3 بمبلغ 28.00 - TOTALS MATCHED"
IMG_1826.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,12.00,"قسم فيزا ضمن موازنة 12/04 - خادم مدى TOTAL DB 1 بمبلغ 12.00"
IMG_1827.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,12.00,"تفاصيل قسم فيزا - P/ON 1 بمبلغ 12.00"
IMG_1829.jpeg,mada,2026-04-13,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000536,4,60.00,"خادم مدى TOTAL DB 4 بمبلغ 60.00 - TOTALS MATCHED"
IMG_1830.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,4,60.00,"تتمة موازنة 13/04 - P/ON 4 بمبلغ 60.00"
IMG_1832.jpeg,mada,2026-04-17,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000561,5,55.00,"TOTALS NOT MATCHED - خادم مدى 0 بمبلغ 0.00 وجهاز نقطة البيع 5 بمبلغ 55.00"
IMG_1833.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,81.00,"قسم ماستركارد - خادم مدى 0 وجهاز نقطة البيع 1 بمبلغ 81.00 - وأعلاه P/ON 5 بمبلغ 55.00"
IMG_1834.jpeg,mada,2026-04-17,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,81.00,"ذيل موازنة 17/04 - P/ON 1 بمبلغ 81.00"
IMG_1835.jpeg,mada,2026-04-29,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000619,7,142.00,"خادم مدى وجهاز نقطة البيع 7 بمبلغ 142.00 - TOTALS MATCHED"
IMG_1836.jpeg,mada,2026-04-29,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,7,142.00,"ذيل موازنة 29/04 - P/ON 7 بمبلغ 142.00"
IMG_1837.jpeg,delivery,,Keeta,,3,54.83,"دفع العميل 54.83 - صحن بطاطس 6.25 وشاورما باشكا 22.50 وشاورما عربي لحم كبير 25.00"
IMG_1838.jpeg,mada,2026-04-27,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000609,1,5.00,"خادم مدى وجهاز نقطة البيع 1 بمبلغ 5.00 - TOTALS MATCHED"
IMG_1840.jpeg,mada,2026-04-08,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000490,4,91.00,"خادم مدى وجهاز نقطة البيع 4 بمبلغ 91.00 - TOTALS MATCHED"
IMG_1841.jpeg,delivery,,Keeta,,6,49.00,"المجموع شامل الضريبة 49.00 - دفع العميل 49.98 - رسوم توصيل 19.00 وخصم 19.00"
IMG_1842.jpeg,delivery,2026-04-25,hungerstation,968178071,6,42.00,"طلب #29 مدفوع مسبقا - ضريبة شاملة 5.48"
IMG_1843.jpeg,mada,2026-04-15,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000552,7,161.00,"خادم مدى وجهاز نقطة البيع 7 بمبلغ 161.00 - TOTALS MATCHED"
IMG_1844.jpeg,mada,2026-04-15,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000552,7,161.00,"نفس موازنة 15/04 - P/ON 7 بمبلغ 161.00"
IMG_1846.jpeg,mada,2026-04-20,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000575,8,168.00,"خادم مدى وجهاز نقطة البيع 8 بمبلغ 168.00 - TOTALS MATCHED"
IMG_1847.jpeg,mada,2026-04-21,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000579,2,31.00,"TOTALS MATCHED - ويظهر بداية قسم فيزا بعدد 1 ومبلغ 9.00"
IMG_1848.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,9.00,"قسم فيزا من موازنة 21/04 - P/ON 1 بمبلغ 9.00"
IMG_1849.jpeg,mada,2026-04-22,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000584,1,20.00,"خادم مدى وجهاز نقطة البيع 1 بمبلغ 20.00 - TOTALS MATCHED"
IMG_1850.jpeg,mada,2026-04-22,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,20.00,"ذيل موازنة 22/04 - P/ON 1 بمبلغ 20.00"
IMG_1853.jpeg,other,,,,,,"ورقة بخط اليد فيها أسطر غاز والبواني ومزيل صحي وزبادي مع مبالغ - الخط غير مقروء"
IMG_1870.jpeg,mada,2026-05-16,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000735,1,20.00,"خادم مدى وجهاز نقطة البيع 1 بمبلغ 20.00 - TOTALS MATCHED"
IMG_1871.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,2,9.00,"قسم ماستركارد من موازنة 16/05 - P/ON 2 بمبلغ 9.00"
IMG_1875.jpeg,other,2026-05-15,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",812595,,20.00,"إيصال شراء مدى 21:31:29"
IMG_1876.jpeg,other,2026-05-15,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",073720,,3.00,"إيصال شراء ماستركارد 22:12:52"
IMG_1877.jpeg,other,2026-05-15,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",004662,,6.00,"إيصال شراء ماستركارد 22:20:24"
IMG_1879.jpeg,delivery,,Keeta,,5,32.69,"دفع العميل 32.69 - ساندويتش بيض 3.75 وشكشوكة 6.25 ولحم مقلقل 8.75"
IMG_1881.jpeg,delivery,,Keeta,,,35.96,"دفع العميل 35.96 - ديو 4.00 وشاورما عربي لحم كبير 25.00 وشاورما خبز شامي صغير 6.25"
IMG_1882.jpeg,mada,2026-05-14,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000731,6,96.00,"TOTALS MATCHED - ويظهر بداية قسم فيزا بعدد 1 ومبلغ 18.00"
IMG_1883.jpeg,mada,2026-05-14,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,18.00,"قسم فيزا من موازنة 14/05 - P/ON 1 بمبلغ 18.00"
IMG_1886.jpeg,delivery,2026-05-12,hungerstation,784846773,1,26.00,"طلب #37 مدفوع مسبقا - شاورما عربي دبل 26.00"
IMG_1887.jpeg,mada,2026-05-13,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000720,4,65.00,"خادم مدى وجهاز نقطة البيع 4 بمبلغ 65.00 - TOTALS MATCHED"
IMG_1891.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,37.00,"موازنة مدى TOTALS MATCHED - P/ON 1 بمبلغ 37.00"
IMG_1892.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000706,8,118.00,"موازنة مدى TOTALS MATCHED - P/ON 8 بمبلغ 118.00"
IMG_1893.jpeg,other,2026-05-07,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",749336,,24.00,"إيصال شراء مدى 21:42:03"
IMG_1893.jpeg,other,2026-05-07,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,,24.00,"إيصال شراء مدى 22:01:35 - جهاز 000684"
IMG_1894.jpeg,mada,2026-05-08,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000685,6,112.00,"خادم مدى وجهاز نقطة البيع 6 بمبلغ 112.00 - TOTALS MATCHED"
IMG_1896.jpeg,mada,2026-05-07,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000678,5,141.00,"خادم مدى وجهاز نقطة البيع 5 بمبلغ 141.00 - TOTALS MATCHED"
IMG_1897.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,5,141.00,"تتمة موازنة 07/05 - P/ON 5 بمبلغ 141.00"
IMG_1898.jpeg,mada,2026-05-05,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000659,8,113.00,"خادم مدى وجهاز نقطة البيع 8 بمبلغ 113.00 - TOTALS MATCHED"
IMG_1899.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,17.00,"قسم فيزا من موازنة 05/05 - وأعلاه P/ON 8 بمبلغ 113.00"
IMG_1900.jpeg,mada,2026-05-05,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,17.00,"تفاصيل قسم فيزا - P/ON 1 بمبلغ 17.00"
IMG_1901.jpeg,other,2026-05-24,"صندوق البيع الرئيسي",S20260524-6140,3,,"تذكرة مطبخ - طلب رقم 34 - 3x شاورما عربي - بلا مبالغ"
IMG_1906.jpeg,mada,2026-05-06,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",000665,2,30.00,"خادم مدى وجهاز نقطة البيع 2 بمبلغ 30.00 - TOTALS MATCHED"
IMG_1919.jpeg,other,2026-05-07,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",704545,,30.00,"إيصال شراء مدى 01:05:05"
IMG_1928.jpeg,delivery,,Keeta,0752,2,32.50,"المجموع شامل الضريبة 32.50 - دفع العميل 33.15 - شاورما عربي لحم صغير 17.50 وشاورما لحم كبير 15.00"
IMG_1930.jpeg,other,2026-09-09,"مشوي كوز - صندوق البيع الرئيسي",S20260909-10498,3,11,"فاتورة مبيعات طلب 42 - شاورما صاروخ 9 وشاهي 1 ومياه 1 - دفع رواء باي 11"
