img,النوع,التاريخ,ملاحظة
IMG_1767.jpeg,hand_invoice,,"رقم 0095 - الصورة مقلوبة والمبلغ غير مقروء"
IMG_1768.jpeg,invoice,2026-06-11,"دار السالمين 687608 - الصورة مقلوبة"
IMG_1769.jpeg,hand_invoice,,"رقم 0396 - الصورة مائلة والمبلغ غير مقروء"
IMG_1770.jpeg,hand_invoice,,"رقم 0597 - الصورة مائلة والمبلغ غير مقروء"
IMG_1771.jpeg,hand_invoice,,"رقم 0509 - الصورة مائلة والمبلغ غير مقروء"
IMG_1772.jpeg,delivery,2026-05-27,"كيتا - طلب 2594"
IMG_1773.jpeg,other,2026-05-28,"إيصال شراء من جهاز مدى وليس تسوية"
IMG_1774.jpeg,hand_invoice,,"رقم 0571 - الصورة مقلوبة - التاريخ غير مقروء"
IMG_1775.jpeg,invoice,2026-06-15,"دار السالمين 688386"
IMG_1776.jpeg,hand_invoice,,"رقم 0584 - الصورة مائلة والمبلغ غير مقروء"
IMG_1777.jpeg,invoice,2026-06-23,"دار السالمين 689773"
IMG_1778.jpeg,hand_invoice,,"رقم 0456 - المبلغ والتاريخ غير مقروء"
IMG_1779.jpeg,hand_invoice,,"رقم 0611 - التاريخ غير مقروء"
IMG_1780.jpeg,hand_invoice,,"مؤسسة حميد عوده العطوي للغاز - فاتورة 1477 - السنة غير مقروءة"
IMG_1781.jpeg,invoice,,"دار السالمين 689674 - التاريخ غير مقروء"
IMG_1782.jpeg,invoice,2026-06-06,"دار السالمين 686498"
IMG_1783.jpeg,invoice,2026-06-23,"سما القد - INV-255035 - اسم الصنف غير مقروء"
IMG_1784.jpeg,hand_invoice,,"رقم الفاتورة مغطى باليد والمبلغ غير مقروء"
IMG_1785.jpeg,invoice,2026-04-10,"دار السالمين 676758 - صنف اللحم مسعر بالوزن 19.39 كيلو"
IMG_1786.jpeg,invoice,2026-06-22,"اضواء درة الحمراء - فاتورة 21942"
IMG_1787.jpeg,hand_invoice,,"رقم 0242 - المبلغ غير مقروء"
IMG_1788.jpeg,other,2026-05-19,"إيصال شراء مدى 17:52"
IMG_1789.jpeg,other,2026-05-19,"إيصال شراء مدى 18:51"
IMG_1790.jpeg,other,2026-05-19,"إيصال شراء مدى 21:23"
IMG_1791.jpeg,other,2026-05-19,"إيصال شراء مدى 23:25"
IMG_1792.jpeg,invoice,2026-06-04,"دار السالمين 686150"
IMG_1793.jpeg,hand_invoice,,"رقم 0407 - التاريخ غير مقروء"
IMG_1794.jpeg,hand_invoice,,"حميد عوده العطوي للغاز - فاتورة 1482 - مكتوب 21/7 والسنة غير مقروءة"
IMG_1795.jpeg,hand_invoice,,"حميد عوده العطوي للغاز - فاتورة 0188 - الصورة مائلة - السنة غير مقروءة"
IMG_1796.jpeg,hand_invoice,,"رقم 0429 - الصورة مقلوبة - التاريخ غير مقروء"
IMG_1797.jpeg,invoice,2026-05-20,"دار السالمين 683822 - الصورة مائلة"
IMG_1798.jpeg,invoice,2026-09-05,"شركة سفير الأطعمة - الصورة مائلة"
IMG_1799.jpeg,hand_invoice,,"رقم 0470 - المبلغ غير مقروء"
IMG_1800.jpeg,hand_invoice,,"رقم 0443 - المبلغ غير مقروء"
IMG_1801.jpeg,hand_invoice,,"رقم 0418 - المبلغ غير مقروء"
IMG_1802.jpeg,hand_invoice,,"رقم 0642 - المبلغ غير مقروء"
IMG_1803.jpeg,hand_invoice,,"رقم 0626 - المبلغ غير مقروء"
IMG_1804.jpeg,invoice,2026-05-17,"دار السالمين 683148 - صنف اللحم بالوزن 27.3 كيلو"
IMG_1805.jpeg,hand_invoice,,"رقم 0218 - صنفان والمبالغ غير مقروءة"
IMG_1807.jpeg,invoice,2026-04-27,"اضواء درة الحمراء - فاتورة 9720"
IMG_1808.jpeg,hand_invoice,,"رقم 0714 - المبلغ غير مقروء"
IMG_1809.jpeg,hand_invoice,,"رقم 0748 - المبلغ غير مقروء"
IMG_1810.jpeg,hand_invoice,,"رقم 0794 - المبلغ غير مقروء"
IMG_1811.jpeg,invoice,2026-04-24,"دار السالمين 679030"
IMG_1812.jpeg,hand_invoice,,"رقم 0809 - المبلغ غير مقروء"
IMG_1813.jpeg,hand_invoice,,"رقم 0763 - التاريخ غير مقروء"
IMG_1814.jpeg,invoice,2026-04-26,"دار السالمين 679450 - صنف اللحم بالوزن 24.11 كيلو"
IMG_1815.jpeg,invoice,2026-04-15,"دار السالمين 677515"
IMG_1816.jpeg,hand_invoice,2026-05-01,"رقم 0828"
IMG_1817.jpeg,invoice,2026-04-29,"دار السالمين 679930 - الصورة مائلة"
IMG_1818.jpeg,invoice,2026-04-30,"دار السالمين 680122"
IMG_1819.jpeg,hand_invoice,2026-04-28,"رقم 0779"
IMG_1820.jpeg,mada,,"موازنة مدى - التاريخ غير مقروء - الصورة مائلة"
IMG_1821.jpeg,mada,,"ذيل موازنة مدى بلا مبالغ - التاريخ غير مقروء"
IMG_1822.jpeg,delivery,2026-04-23,"هنقرستيشن #28"
IMG_1823.jpeg,mada,,"موازنة مدى - التاريخ غير ظاهر"
IMG_1824.jpeg,mada,,"جزء أوسط من موازنة مدى - التاريخ غير ظاهر"
IMG_1825.jpeg,mada,2026-04-12,"موازنة مدى TOTALS MATCHED - 00:22:08"
IMG_1826.jpeg,mada,,"تتمة موازنة 12/04 - قسم فيزا"
IMG_1827.jpeg,mada,,"تتمة موازنة 12/04 - تفاصيل قسم فيزا"
IMG_1828.jpeg,mada,,"ذيل موازنة 12/04 - لا توجد عمليات لبقية الشبكات"
IMG_1829.jpeg,mada,2026-04-13,"موازنة مدى TOTALS MATCHED - 01:21:33"
IMG_1830.jpeg,mada,,"تتمة موازنة 13/04"
IMG_1831.jpeg,mada,2026-04-13,"ذيل موازنة 13/04 - لا توجد عمليات لبقية الشبكات"
IMG_1832.jpeg,mada,2026-04-17,"موازنة مدى TOTALS NOT MATCHED - 00:03:39"
IMG_1833.jpeg,mada,,"تتمة موازنة 17/04 - قسم ماستركارد"
IMG_1834.jpeg,mada,2026-04-17,"ذيل موازنة 17/04 - قسم ماستركارد"
IMG_1835.jpeg,mada,2026-04-29,"موازنة مدى TOTALS MATCHED - 00:04:39"
IMG_1836.jpeg,mada,2026-04-29,"ذيل موازنة 29/04"
IMG_1837.jpeg,delivery,,"إيصال توصيل - التاريخ غير ظاهر"
IMG_1838.jpeg,mada,2026-04-27,"موازنة مدى TOTALS MATCHED - 00:10:03"
IMG_1839.jpeg,mada,2026-04-27,"ذيل موازنة 27/04 بلا مبالغ"
IMG_1840.jpeg,mada,2026-04-08,"موازنة مدى TOTALS MATCHED - 01:21:42"
IMG_1841.jpeg,delivery,,"إيصال كيتا - التاريخ غير ظاهر"
IMG_1842.jpeg,delivery,2026-04-25,"هنقرستيشن #29"
IMG_1843.jpeg,mada,2026-04-15,"موازنة مدى TOTALS MATCHED - 01:06:49"
IMG_1844.jpeg,mada,2026-04-15,"نفس موازنة 15/04 بلقطة أوسع"
IMG_1846.jpeg,mada,2026-04-20,"موازنة مدى TOTALS MATCHED - 01:14:30"
IMG_1847.jpeg,mada,2026-04-21,"موازنة مدى TOTALS MATCHED - 00:12:10 - وفيها بداية قسم فيزا"
IMG_1848.jpeg,mada,,"تتمة موازنة 21/04 - قسم فيزا"
IMG_1849.jpeg,mada,2026-04-22,"موازنة مدى TOTALS MATCHED - 00:02:21"
IMG_1850.jpeg,mada,2026-04-22,"ذيل موازنة 22/04"
IMG_1851.jpeg,invoice,2026-04-13,"دار السالمين 677215"
IMG_1852.jpeg,invoice,2026-06-17,"دار السالمين 688634"
IMG_1853.jpeg,other,,"ورقة بخط اليد بأرقام - غير مقروء"
IMG_1854.jpeg,hand_invoice,,"رقم 0550 - التاريخ غير مقروء"
IMG_1855.jpeg,hand_invoice,,"رقم 0567 - المبلغ مغطى جزئيا باليد وغير مقروء"
IMG_1856.jpeg,hand_invoice,,"رقم 0531 - التاريخ غير مقروء"
IMG_1857.jpeg,hand_invoice,,"رقم 0227 - التاريخ غير مقروء"
IMG_1858.jpeg,hand_invoice,,"رقم 0373 - التاريخ غير مقروء"
IMG_1859.jpeg,hand_invoice,,"رقم 0384 - التاريخ غير مقروء"
IMG_1860.jpeg,hand_invoice,,"رقم 0327 - التاريخ غير مقروء"
IMG_1861.jpeg,hand_invoice,,"رقم 0315 - التاريخ غير مقروء"
IMG_1862.jpeg,hand_invoice,,"رقم 0361 - التاريخ غير مقروء"
IMG_1863.jpeg,hand_invoice,,"رقم 0348 - التاريخ غير مقروء"
IMG_1864.jpeg,hand_invoice,,"رقم 0339 - التاريخ غير مقروء"
IMG_1865.jpeg,hand_invoice,,"رقم 0327 - نفس فاتورة IMG_1860 بلقطة أخرى - التاريخ غير مقروء"
IMG_1866.jpeg,invoice,2026-05-04,"دار السالمين 680961 - يوجد صنف خامس بكود GAZ000004 لم تُقرأ أرقامه"
IMG_1867.jpeg,invoice,2026-05-09,"دار السالمين 681833 - اسم صنف ALA000004 غير مقروء"
IMG_1868.jpeg,invoice,2026-05-09,"دار السالمين 681845 - اسم صنف ALA000005 غير مقروء"
IMG_1869.jpeg,invoice,2026-06-01,"دار السالمين 685591"
IMG_1870.jpeg,mada,2026-05-16,"موازنة مدى TOTALS MATCHED - 00:14:32"
IMG_1871.jpeg,mada,,"تتمة موازنة 16/05 - قسم ماستركارد"
IMG_1872.jpeg,invoice,2026-05-11,"دار السالمين 682242 - اسم الصنف الأول مقروء جزئيا"
IMG_1873.jpeg,invoice,2026-05-12,"دار السالمين 682326"
IMG_1874.jpeg,invoice,2026-05-07,"دار السالمين 681448 - صنف اللحم بالوزن 22.73 كيلو"
IMG_1875.jpeg,other,2026-05-15,"إيصال شراء مدى 21:31:29 - الصورة مائلة"
IMG_1876.jpeg,other,2026-05-15,"إيصال شراء ماستركارد 22:12:52 وخلفه إيصال 21:31:29"
IMG_1877.jpeg,other,2026-05-15,"إيصال شراء ماستركارد 22:20:24"
IMG_1878.jpeg,hand_invoice,,"رقم 0303 - الصورة مائلة والمبلغ غير مقروء"
IMG_1879.jpeg,delivery,,"إيصال كيتا - التاريخ غير ظاهر"
IMG_1880.jpeg,invoice,2026-05-17,"اضواء درة الحمراء - فاتورة 13961"
IMG_1881.jpeg,delivery,,"إيصال كيتا - التاريخ غير ظاهر"
IMG_1882.jpeg,mada,2026-05-14,"موازنة مدى TOTALS MATCHED - 00:54:35 - وفيها بداية قسم فيزا"
IMG_1883.jpeg,mada,2026-05-14,"تتمة موازنة 14/05 - قسم فيزا"
IMG_1884.jpeg,invoice,2026-05-13,"مخازن المملكة العالمية - حركة 1924732 - اسم الصنف غير مقروء"
IMG_1885.jpeg,invoice,2026-05-13,"اضواء درة الحمراء - فاتورة 12684 - اسم الصنف غير مقروء"
IMG_1886.jpeg,delivery,2026-05-12,"هنقرستيشن #37"
IMG_1887.jpeg,mada,2026-05-13,"موازنة مدى TOTALS MATCHED - 00:43:25"
IMG_1888.jpeg,mada,2026-05-13,"ذيل موازنة 13/05 بلا مبالغ"
IMG_1889.jpeg,other,,"ورقة بخط اليد بلا أرقام - غير مقروء"
IMG_1890.jpeg,invoice,2026-05-09,"اضواء درة الحمراء - فاتورة 11082"
IMG_1891.jpeg,mada,,"موازنة مدى TOTALS MATCHED - التاريخ غير ظاهر"
IMG_1892.jpeg,mada,,"موازنة مدى TOTALS MATCHED - جهاز 000706 - التاريخ غير ظاهر"
IMG_1893.jpeg,other,2026-05-07,"إيصالا شراء مدى 21:42:03 و 22:01:35"
IMG_1894.jpeg,mada,2026-05-08,"موازنة مدى TOTALS MATCHED - 00:00:04"
IMG_1895.jpeg,mada,2026-05-08,"ذيل موازنة 08/05 بلا مبالغ"
IMG_1896.jpeg,mada,2026-05-07,"موازنة مدى TOTALS MATCHED - 01:14:08"
IMG_1897.jpeg,mada,,"تتمة موازنة 07/05"
IMG_1898.jpeg,mada,2026-05-05,"موازنة مدى TOTALS MATCHED - 01:31:01"
IMG_1899.jpeg,mada,,"تتمة موازنة 05/05 - قسم فيزا"
IMG_1900.jpeg,mada,2026-05-05,"ذيل موازنة 05/05 - تفاصيل قسم فيزا"
IMG_1901.jpeg,other,2026-05-24,"تذكرة مطبخ - طلب 34 - فاتورة S20260524-6140"
IMG_1902.jpeg,hand_invoice,,"رقم 0257 - المبلغ غير مقروء"
IMG_1903.jpeg,hand_invoice,,"رقم 0272 - التاريخ غير مقروء"
IMG_1904.jpeg,hand_invoice,,"رقم 0288 - الصورة مائلة والمبلغ غير مقروء"
IMG_1905.jpeg,invoice,2026-05-15,"دار السالمين 682856 - الصورة مقلوبة"
IMG_1906.jpeg,mada,2026-05-06,"موازنة مدى TOTALS MATCHED - 01:05:27 - الصورة مائلة"
IMG_1907.jpeg,hand_invoice,,"رقم 0018 - الصورة مائلة والمبالغ غير مقروءة"
IMG_1908.jpeg,hand_invoice,,"رقم 0026 - التاريخ غير مقروء"
IMG_1909.jpeg,hand_invoice,,"رقم 0058 - التاريخ غير مقروء"
IMG_1910.jpeg,hand_invoice,,"رقم 0042 - التاريخ غير مقروء"
IMG_1911.jpeg,hand_list,,"قائمة طلبات بخط اليد بلا أسعار"
IMG_1912.jpeg,hand_invoice,,"رقم 0007 - التاريخ غير مقروء"
IMG_1913.jpeg,hand_invoice,,"رقم 0991 - التاريخ غير مقروء"
IMG_1914.jpeg,invoice,2026-05-02,"دار السالمين 680440"
IMG_1915.jpeg,hand_invoice,,"رقم 0879 - التاريخ غير مقروء"
IMG_1916.jpeg,hand_invoice,,"رقم 0864 - الصورة مائلة والمبلغ غير مقروء"
IMG_1917.jpeg,invoice,2026-05-03,"دار السالمين 680757"
IMG_1918.jpeg,hand_invoice,2026-05-10,"رقم 0976"
IMG_1919.jpeg,other,2026-05-07,"إيصال شراء مدى 01:05:05"
IMG_1920.jpeg,hand_invoice,2026-05-09,"رقم 0960"
IMG_1921.jpeg,hand_invoice,2026-05-06,"رقم 0847 - الصورة مائلة"
IMG_1922.jpeg,hand_invoice,,"رقم 0732 - الصورة مائلة والمبلغ غير مقروء"
IMG_1923.jpeg,hand_invoice,2026-05-11,"رقم 0924"
IMG_1924.jpeg,hand_invoice,2026-05-07,"رقم 0908 - أول خانة من الرقم مغطاة"
IMG_1925.jpeg,hand_invoice,,"رقم 0942 - التاريخ مغطى وغير مقروء"
IMG_1926.jpeg,hand_invoice,2026-05-05,"رقم 0894"
IMG_1927.jpeg,invoice,2026-05-05,"اضواء درة الحمراء - فاتورة 10529"
IMG_1928.jpeg,delivery,,"كيتا - طلب 0752 - التاريخ غير ظاهر"
IMG_1930.jpeg,other,2026-09-09,"فاتورة مبيعات من صندوق مشوي كوز - طلب 42"
IMG_1931.jpeg,invoice,2026-09-09,"لؤلؤة الجنات / خيمة الضيافة - فاتورة 22114"
IMG_1932.jpeg,invoice,2026-09-08,"أطياب النماص - فاتورة 15535"
IMG_1933.jpeg,invoice,2026-09-08,"مينا باك - فاتورة 260030095001"
IMG_1934.jpeg,invoice,2026-09-08,"خيمة الضيافة للمحامص - فاتورة 21200720123687"
IMG_1935.jpeg,invoice,2026-09-03,"مينا باك - فاتورة 260030093306 - نسخة اضافية"
IMG_1936.jpeg,invoice,2026-08-29,"أطياب النماص - فاتورة 14664"
IMG_1937.jpeg,invoice,2026-09-03,"رواد المنظفات - فاتورة 261602037528"
IMG_1938.jpeg,invoice,2026-08-29,"نفس فاتورة أطياب النماص 14664 بلقطة أخرى"
IMG_1939.jpeg,invoice,2026-08-29,"نفس فاتورة أطياب النماص 14664 بلقطة ثالثة"
IMG_1940.jpeg,invoice,2026-09-05,"خيمة الضيافة للمحامص - فاتورة 21200720123574"
IMG_1941.jpeg,invoice,2026-09-05,"أطياب النماص - فاتورة 15286"
IMG_1942.jpeg,invoice,2026-09-07,"صقر باك - فاتورة 39638"
IMG_1943.jpeg,invoice,,"شركة السالمية - فرع الحمرا - إيصال 978 - التاريخ غير ظاهر"
IMG_1944.jpeg,shift,2026-09-07,"تقرير صندوق البيع - اسم المستخدم مغطى"
IMG_1945.jpeg,invoice,2026-08-27,"سفير الأطعمة - فاتورة 261100117159"
IMG_1946.jpeg,invoice,2026-08-26,"دار السالمين 701119"
IMG_1947.jpeg,invoice,2026-08-28,"سفير الأطعمة - فاتورة 261100117215"
IMG_1948.jpeg,invoice,2026-09-07,"لؤلؤة الجنات / خيمة الضيافة - فاتورة 21949"
IMG_1949.jpeg,invoice,2026-09-08,"لؤلؤة الجنات / خيمة الضيافة - فاتورة 22028"
